speech_id,title,date,url,speaker,word_count,sentence_count,char_count,duration_estimate_minutes,avg_sentence_length,std_sentence_length,max_sentence_length,min_sentence_length,type_token_ratio,lexical_diversity,unique_word_count,readability_flesch_reading_ease,readability_flesch_kincaid_grade,readability_gunning_fog,readability_smog_index,readability_coleman_liau_index,readability_automated_readability_index,avg_word_length,anaphora_total,anaphora__we_will,anaphora__i_will,anaphora__they_are,anaphora__we_are,anaphora__this_is,contrast_markers,repetition_density,alliteration_count,keywords_economy,keywords_security,keywords_immigration,keywords_foreign_policy,keywords_total,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,sentiment_mean,sentiment_variance,sentiment_std,sentiment_max,sentiment_min,sentiment_range,emotion_anger,emotion_fear,emotion_joy,emotion_sadness,emotion_surprise,emotion_disgust,emotion_trust,emotion_anticipation,dominant_emotion,dominant_emotion_score,pronoun_first_singular,pronoun_first_plural,pronoun_second_person,pronoun_third_plural,pronoun_third_singular,pronoun_i_we_ratio,pronoun_total,modal_will,modal_would,modal_should,modal_shall,modal_must,modal_can,modal_could,modal_may,modal_might,modal_ought,modal_total,certainty_markers,power_words,affiliation_words,power_affiliation_ratio,ner_person_count,ner_org_count,ner_gpe_count,ner_date_count,ner_money_count,ner_norp_count,ner_fac_count,ner_loc_count,ner_total_entities,top_person_names,top_org_names,top_gpe_names,adj_count,adv_count,adj_adv_ratio,question_count,exclamation_count,all_caps_words,superlative_count,features_extracted_at
_rutte-and-trump-at-white-house,Rutte and Trump at White House,,https://www.rev.com/transcripts/rutte-and-trump-at-white-house,Donald Trump,7764,733,41675,51.76,10.593451568894952,7.621221231047277,47,1,0.13628071681510892,0.13628071681510892,1270,76.8627883377466,5.516114393727861,7.715098350446041,8.99765679554686,6.295742717806775,5.135472139001003,4.182851792402354,8,0,0,1,4,3,71,0.25759917568263785,405,4,10,7,36,57,0.087,0.787,0.126,0.9999,0.04635948158253751,0.11688019725321011,0.34187745941083936,0.9217,-0.9517,1.8734,0,0,0,0,0,0,0,0,anger,0,189,262,164,177,297,0.7213740458015268,1089,17,26,14,0,0,37,11,3,2,0,110,12,8,18,0.4444444444444444,135,35,113,66,14,32,5,16,416,"Donald Trump, Mark Rutte, Putin, Biden, Xi","NATO, the White House, the Supreme Court, Congress, Wall Street Journal","Ukraine, Russia, the United States, China, Colombia",396,512,0.7734375,36,0,36,21,2025-11-23T01:56:56.754165
_trump-speaks-at-senate-luncheon,Trump Speaks at Senate Luncheon,,https://www.rev.com/transcripts/trump-speaks-at-senate-luncheon,Donald Trump,7873,774,41815,52.486666666666665,10.175710594315245,7.849200765710506,64,1,0.13716092188456047,0.13716092188456047,1345,82.3801319925379,4.484360083934593,6.548495509385852,8.320805634523511,5.123547400611621,4.341484881689016,4.001414790996785,16,1,0,1,2,12,85,0.2540327702273593,453,14,23,10,10,57,0.075,0.785,0.139,1.0,0.07529483204134367,0.12587870284150926,0.3547938878299755,0.9517,-0.8779,1.8296000000000001,0,0,0,0,0,0,0,0,anger,0,284,298,216,209,410,0.9530201342281879,1417,11,12,7,0,0,30,10,2,1,0,73,3,5,12,0.4166666666666667,99,39,44,48,19,38,4,2,293,"John, Tim, Donald Trump, James, Biden","Senate, Social Security, the White House, House, Congress","China, US, South Korea, Japan, Canada",511,534,0.9569288389513109,43,0,27,22,2025-11-23T01:56:56.827678
_zelensky-meeting-at-white-house,Zelensky Meeting at White House,,https://www.rev.com/transcripts/zelensky-meeting-at-white-house,Donald Trump,6719,720,36319,44.79333333333334,9.334722222222222,7.240159216370526,48,1,0.13706587566431838,0.13706587566431838,1109,76.35140164611146,5.317332003912053,7.80978267772542,9.25467305139582,6.311572519083974,4.769468542160347,4.234893089556864,6,1,1,0,0,4,70,0.5953266855186784,370,7,13,0,42,62,0.09,0.755,0.154,0.9999,0.07386513888888889,0.11764713321525846,0.3429972787286489,0.9594,-0.9367,1.8961000000000001,0,0,0,0,0,0,0,0,anger,0,197,285,158,89,252,0.6912280701754386,981,25,21,5,0,0,21,10,2,0,0,84,1,10,11,0.9090909090909091,168,19,118,37,8,27,0,12,389,"Trump, Putin, Zelensky, Volodymyr Zelensky, Cara Castronuova","NATO, the European Union, the White House, Lindell TV, IMF","Ukraine, China, Russia, Hungary, India",356,367,0.9700272479564033,67,0,17,13,2025-11-23T01:56:56.883797
_white-house-ivf-announcement,White House IVF Announcement,,https://www.rev.com/transcripts/white-house-ivf-announcement,Donald Trump,9995,888,55692,66.63333333333334,11.25563063063063,9.462882196623282,65,1,0.15189343163538874,0.15189343163538874,1813,69.55421936834603,6.699773755561775,8.952418984539868,10.048992091621944,7.5085667884693486,6.428016918600505,4.382371134020619,12,0,0,0,4,8,82,0.20010005002501252,579,4,2,1,4,11,0.047,0.794,0.16,1.0,0.15312432432432432,0.11588894582724615,0.3404246551400855,0.9552,-0.9056,1.8608,0,0,0,0,0,0,0,0,anger,0,253,259,211,112,358,0.9768339768339769,1193,35,30,5,0,0,34,12,4,0,0,120,4,10,18,0.5555555555555556,207,55,33,86,28,36,0,5,450,"Donald Trump, Trump, Katie Britt, Bobby, Biden","EMD Serono, FDA, Hamas, Medicare, Pfizer","the United States, Alabama, Russia, US, the United States of America",596,633,0.9415481832543444,62,0,82,32,2025-11-23T01:56:56.979324
_argentinas-president-visits-white-house,Argentina's President Visits White House,,https://www.rev.com/transcripts/argentina-president-visits-white-house,Donald Trump,9171,907,48938,61.14,10.114663726571113,8.114266294615312,51,1,0.13017429193899782,0.13017429193899782,1434,78.16244793278318,5.14528663785012,7.156670216045959,8.663903129480092,5.924835507973679,4.605255772365112,4.15134338510373,6,1,0,0,1,4,108,0.0,437,9,9,2,28,48,0.085,0.747,0.169,1.0,0.09286747519294378,0.14092781282306308,0.3754035333119057,0.9657,-0.9412,1.9069,0,0,0,0,0,0,0,0,anger,0,285,254,214,173,456,1.1220472440944882,1382,26,40,15,0,0,44,18,3,2,0,148,5,9,16,0.5625,181,37,161,49,10,29,2,16,485,"Donald Trump, Scott Bessent, Brian, Scott, Milei","NATO, ABC, the White House, Hamas, the United Nations","Argentina, China, Spain, New York, the United States",509,559,0.9105545617173524,98,0,41,20,2025-11-23T01:56:57.065943
_trump-press-gaggle-aboard-airforce-one-101425,Trump Press Gaggle Aboard Airforce One 10/14/25,,https://www.rev.com/transcripts/trump-press-gaggle-aboard-airforce-one-10-14-25,Donald Trump,2794,268,14795,18.626666666666665,10.425373134328359,8.02782183211819,41,1,0.2044392523364486,0.2044392523364486,700,78.37911428571428,5.665885714285718,7.652785714285715,8.563720534131155,6.2505952380952365,5.522433786685756,4.140458015267176,1,0,0,0,0,1,31,0.35790980672870437,118,1,2,2,4,9,0.068,0.779,0.153,0.9998,0.10466417910447762,0.10341320580641568,0.3215792372128768,0.9545,-0.9239,1.8784,0,0,0,0,0,0,0,0,anger,0,98,55,94,54,117,1.7818181818181817,418,2,9,3,0,0,16,8,2,1,0,41,0,8,4,2.0,93,5,39,19,1,7,1,4,169,"Donald Trump, Katie, Erdogan, Karoline, Trump","Knesset, Fox, House, Senate, NATO","Chicago, Gaza, New York City, Russia, D. C.",147,152,0.9671052631578947,39,0,9,0,2025-11-23T01:56:57.090554
_trump-speaks-at-ceasefire-ceremony,Trump Speaks at Ceasefire Ceremony,,https://www.rev.com/transcripts/trump-speaks-at-ceasefire-ceremony,Donald Trump,6694,705,35678,44.626666666666665,9.49645390070922,8.516337335355908,70,1,0.14476751318856582,0.14476751318856582,1180,78.43997449004478,5.1293224702473985,6.955897358021781,8.66139804025575,5.81883681880629,4.621453457920971,4.1449410304158905,9,0,1,1,0,7,54,0.5975500448162533,324,2,3,0,3,8,0.037,0.699,0.265,1.0,0.24934382978723402,0.12008484623497813,0.3465326048656578,0.9733,-0.8816,1.8549000000000002,0,0,0,0,0,0,0,0,anger,0,192,184,204,89,307,1.0434782608695652,976,11,17,0,0,3,21,11,1,0,0,64,2,9,34,0.2647058823529412,70,15,86,48,5,8,2,24,258,"Donald Trump, Victor, Shehbaz Sharif, God, Ivanka","the Board of Peace, the Abraham Accord, NATO, The Palestinian Authority, the Arab League","Gaza, Egypt, Norway, Pakistan, India",445,588,0.7568027210884354,38,0,12,30,2025-11-23T01:56:57.150186
_trump-announces-hostages-released,Trump Announces Hostages Released,,https://www.rev.com/transcripts/trump-announces-hostages-released,Donald Trump,8654,742,46551,57.693333333333335,11.66576819407008,9.225032634375644,60,1,0.1433169254070428,0.1433169254070428,1514,76.78274753169092,5.698380548967961,7.677291693263289,9.117067884135928,6.076876597722521,5.533512121885629,4.114773258532025,9,1,0,1,2,5,98,0.9244280101687081,477,2,27,3,21,53,0.089,0.708,0.203,1.0,0.1557890835579515,0.1804183468484863,0.42475680906665436,0.9737,-0.9459,1.9196,0,0,0,0,0,0,0,0,anger,0,292,167,216,169,371,1.748502994011976,1215,24,28,9,0,2,36,14,4,3,0,120,4,9,29,0.3103448275862069,115,25,135,80,1,25,2,21,404,"Bibi, Steve, Jared, Trump, Putin","ISIS, Knesset, Knesset-, Hamas, Hezbollah","Israel, Iran, the United States, Jerusalem, the United States of America",558,642,0.8691588785046729,50,0,18,35,2025-11-23T01:56:57.225062
_finnish-president-visits-white-house,Finnish President Visits White House,,https://www.rev.com/transcripts/finnish-president-visits-white-house,Donald Trump,4638,483,25034,30.92,9.604554865424431,7.702473316748975,44,1,0.1642692239389096,0.1642692239389096,925,74.62854979975137,5.545645850271658,7.964317455401122,9.254694463905677,6.291095280498663,4.708762428833019,4.2539428571428575,5,0,0,0,0,5,45,0.646830530401035,230,6,29,8,27,70,0.053,0.767,0.18,1.0,0.14869875776397515,0.11040413614752519,0.33227117862903066,0.9001,-0.9674,1.8675000000000002,0,0,0,0,0,0,0,0,anger,0,155,136,127,72,178,1.1397058823529411,668,11,24,4,0,0,9,4,3,3,1,59,4,4,18,0.2222222222222222,102,25,84,40,0,15,3,12,281,"Trump, Alexander Stubb, Presiden Trump, Obama, Petteri Orpo","NATO, Hezbollah, Nokia, Navy, DCA","Finland, Russia, Ukraine, Spain, US",268,306,0.8758169934640523,49,0,27,15,2025-11-23T01:56:57.267838
_white-house-cabinet-meeting-100925,White House Cabinet Meeting 10/09/25,,https://www.rev.com/transcripts/white-house-cabinet-meeting-10-09-25,Donald Trump,12522,975,68551,83.48,12.844102564102563,10.333728871986967,63,1,0.13054795434826136,0.13054795434826136,1956,71.949331851042,6.698189786912668,8.863786877222926,9.991690910308932,7.067682386134621,6.637683906763776,4.242003916449086,8,0,2,0,1,5,148,0.15971889474524836,699,25,33,13,14,85,0.071,0.786,0.143,1.0,0.10620256410256408,0.13696913073188693,0.37009340811731156,0.9782,-0.9729,1.9510999999999998,0,0,0,0,0,0,0,0,anger,0,307,484,247,253,431,0.6342975206611571,1722,30,28,14,0,1,43,21,3,2,0,142,5,20,24,0.8333333333333334,198,58,106,122,10,76,1,18,589,"Trump, Chuck Schumer, Marco, Kristi Noem, Biden","Hamas, Medicare, Medicaid, Antifa, ICE","Chicago, Memphis, Portland, Gaza, Iran",782,815,0.9595092024539877,40,1,39,31,2025-11-23T01:56:57.378462
